pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400R1.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400R1.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400R1.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400R1.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400R1.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1400R1.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1401.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1401.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1401.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1401.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1401.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1401.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1402.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1402.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1402.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1402.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1402.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1402.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1403.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1403.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1403.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1403.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1403.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1403.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1404.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1404.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1404.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1404.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1404.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1404.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1405.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1405.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1405.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1405.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1405.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1405.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1405.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1406.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1406.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1406.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1406.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1406.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1406.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1406.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1407.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1407.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1407.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1407.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1407.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1407.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1408.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1408.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1408.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1408.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1408.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1400-1499\CP-1408.pdf,6,612.0,792.0,
