pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-2900-2999\CP-2900 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2900 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2900 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2901 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2901 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2901 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2901 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2901 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2901 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2902 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2902 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2902 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2902 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2902 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2902 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2903 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2903 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2903 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2903 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2903 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2903 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2904 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2904 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2904 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2904 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2904 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2904 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905R1 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905R1 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905R1 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905R1 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905R1 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905R1 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2905R1 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2906 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2906 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2906 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2906 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2906 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2906 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2907 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2907 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2907 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2907 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2907 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2907 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2907 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2908 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2908 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2910 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2910 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2910 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2910 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2910 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2910 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2911 LGE.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-2900-2999\CP-2911 LGE.pdf,2,612.0,792.0,
