pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-4000-4099\4092 proposed changes.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4092 proposed changes.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4092 proposed changes.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4092 proposed changes.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4092 proposed changes.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4092 proposed changes.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4092 proposed changes.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4092 proposed changes.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4092 proposed changes.pdf,9,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4092 proposed changes.pdf,10,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4092 proposed changes.pdf,11,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes (condensed).pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes (condensed).pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes (condensed).pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes (condensed).pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes (condensed).pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes.pdf,9,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes.pdf,10,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\4093 proposed changes.pdf,11,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\CP-4000.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4000-4099\CP-4000.pdf,2,612.0,792.0,
