pdf_path,page,page_width,page_height,word,x0,y0,x1,y1,block,line,word_no
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,PLC,241.56179809570312,29.14647674560547,269.5814208984375,49.25175857543945,0,0,0
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,PARAMETERS,273.6039123535156,29.14647674560547,371.5329284667969,49.25175857543945,0,0,1
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,Program:,252.00660705566406,61.526878356933594,309.6632385253906,80.69148254394531,1,0,0
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,4954r4,317.5185852050781,61.526878356933594,361.073486328125,80.69148254394531,1,0,1
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,Tertiary,265.33056640625,77.6026840209961,312.7955322265625,96.76728820800781,1,1,0
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,Filter,316.69586181640625,77.6026840209961,347.8969421386719,96.76728820800781,1,1,1
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,BLOCK,120.68930053710938,120.65202331542969,161.4532928466797,137.03201293945312,2,0,0
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,DESCRIPTION,192.68930053710938,120.65202331542969,274.7933044433594,137.03201293945312,2,1,0
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,FACTORY,408.6893005371094,120.65202331542969,466.01336669921875,137.03201293945312,2,2,0
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,SETTING,408.6893005371094,134.45201110839844,460.745361328125,150.83200073242188,2,3,0
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,B01,120.68930053710938,162.05198669433594,142.12130737304688,178.43197631835938,3,0,0
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,1,406.8892517089844,162.05198669433594,413.5612487792969,178.43197631835938,3,1,0
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,min,416.8492736816406,162.05198669433594,436.2413024902344,178.43197631835938,3,1,1
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,B02,120.68930053710938,203.45201110839844,142.12130737304688,219.83200073242188,4,0,0
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,5,408.68927001953125,203.45201110839844,415.36126708984375,219.83200073242188,4,1,0
E:\SCHEMATICai\samples\CP-6200-6299\CP-6205 PDF.pdf,8,612.0,792.0,min,418.769287109375,203.45201110839844,438.16131591796875,219.83200073242188,4,1,1
