pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 Country Estates PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 Country Estates PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 Country Estates PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 Country Estates PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 Country Estates PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 Country Estates PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 Country Estates PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 West Winn Water Works PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 West Winn Water Works PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 West Winn Water Works PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 West Winn Water Works PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 West Winn Water Works PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 West Winn Water Works PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6200 West Winn Water Works PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6201 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6201 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6201 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6201 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6201 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6201 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6201 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6201 PDF.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6203 Screen.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6203 Screen.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6203 Screen.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6200-6299\CP-6203 Screen.pdf,4,612.0,792.0,
