pdf_path,page,page_width,page_height,word,x0,y0,x1,y1,block,line,word_no
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,Upon,160.6199951171875,252.04473876953125,183.43295288085938,263.7673034667969,0,0,0
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,power,185.8177032470703,252.04473876953125,211.3638153076172,263.7673034667969,0,0,1
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,up,213.69775390625,252.04473876953125,224.1008758544922,263.7673034667969,0,0,2
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,the,226.3744354248047,252.04473876953125,239.05747985839844,263.7673034667969,0,0,3
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,clock,241.43801879882812,252.04473876953125,263.5372314453125,263.7673034667969,0,0,4
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,screen,265.9304504394531,252.04473876953125,292.1373291015625,263.7673034667969,0,0,5
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,may,294.5220642089844,252.04473876953125,312.1800231933594,263.7673034667969,0,0,6
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,not,314.325439453125,252.04473876953125,327.5898132324219,263.7673034667969,0,0,7
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,be,329.87957763671875,252.04473876953125,339.6219177246094,263.7673034667969,0,0,8
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,displayed.,342.00244140625,252.04473876953125,383.622314453125,263.7673034667969,0,0,9
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,The,386.0155334472656,252.04473876953125,402.09356689453125,263.7673034667969,0,0,10
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,clock,404.4137268066406,252.04473876953125,426.5256652832031,263.7673034667969,0,0,11
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,screen,428.9114685058594,252.04473876953125,455.0082702636719,263.7673034667969,0,0,12
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,is,457.3940734863281,252.04473876953125,464.275146484375,263.7673034667969,0,0,13
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,considered,466.69482421875,252.04473876953125,510.9419860839844,263.7673034667969,0,0,14
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,the,513.2674560546875,252.04473876953125,525.8912353515625,263.7673034667969,0,0,15
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,“main”,160.6201934814453,264.1644287109375,190.1617431640625,275.8872985839844,0,1,0
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,screen,192.48190307617188,264.16473388671875,218.76187133789062,275.8872985839844,0,1,1
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,and,221.0873260498047,264.16473388671875,235.98358154296875,275.8872985839844,0,1,2
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,will,238.3683319091797,264.16473388671875,254.13397216796875,275.8872985839844,0,1,3
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,be,256.5113220214844,264.16473388671875,266.31298828125,275.8872985839844,0,1,4
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,the,268.6935119628906,264.16473388671875,281.3172912597656,275.8872985839844,0,1,5
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,starting,283.57708740234375,264.16473388671875,314.3141784667969,275.8872985839844,0,1,6
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,point,316.5793151855469,264.16473388671875,337.6238708496094,275.8872985839844,0,1,7
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,for,340.0616149902344,264.16473388671875,352.13153076171875,275.8872985839844,0,1,8
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,all,354.5692443847656,264.16473388671875,364.7160949707031,275.8872985839844,0,1,9
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,programming.,367.1538391113281,264.16473388671875,425.1282653808594,275.8872985839844,0,1,10
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,Locating,160.62020874023438,288.40411376953125,196.9845428466797,300.1266784667969,0,3,0
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,the,199.24961853027344,288.40411376953125,211.93267822265625,300.1266784667969,0,3,1
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,clock,214.25389099121094,288.40411376953125,236.4738311767578,300.1266784667969,0,3,2
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,screen:,238.7950439453125,288.40411376953125,267.7223815917969,300.1266784667969,0,3,3
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,Use,160.62026977539062,300.6451721191406,176.65911865234375,312.36773681640625,0,4,0
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,the,178.97927856445312,300.6451721191406,191.60301208496094,312.36773681640625,0,4,1
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,“DOWN”,193.98037719726562,300.6451721191406,237.0733184814453,312.36773681640625,0,4,2
E:\SCHEMATICai\samples\CP-2600-2699\CP-2611-R1.pdf,8,612.0,792.0,key,239.3404998779297,300.6451721191406,254.23675537109375,312.36773681640625,0,4,3
