pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R1 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R1 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R1 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R1 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R1 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R1 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R2 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R2 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R2 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R2 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R2 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R2 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1204R2 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1210A PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1210A PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1210A PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1210A PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1210A PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1210A PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1210A PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1211 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1211 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1211 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1211 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1211 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1211 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1211 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1213 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1213 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1213 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1213 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1213 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1213 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1213 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1213 PDF.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1214 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1214 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1214 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1214 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1214 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1214 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1214 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1214 PDF.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1214 PDF.pdf,9,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1214 PDF.pdf,10,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1215-2 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1216 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1226 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1238R1 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1238R1 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1238R1 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1238R1 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1238R1 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1238R1 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1239R1 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1239R1 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1239R1 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1239R1 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1239R1 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1239R1 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1240R1 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1240R1 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1240R1 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1240R1 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1240R1 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1200-1299\CP-1240R1 PDF.pdf,6,612.0,792.0,
