pdf_path,page,page_width,page_height,word,x0,y0,x1,y1,block,line,word_no
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,CP-6195SR2,504.7799987792969,755.0504760742188,565.5062255859375,767.7847290039062,0,0,0
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,SABIC,167.33999633789062,392.7561340332031,213.75889587402344,410.20458984375,1,0,0
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,INNOVATIVE,217.6993865966797,392.7561340332031,315.73870849609375,410.20458984375,1,0,1
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,PLASTICS,319.67919921875,392.7561340332031,392.3733215332031,410.20458984375,1,0,2
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,WWTF,396.31378173828125,392.7561340332031,444.4665222167969,410.20458984375,1,0,3
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,C,26.579999923706055,769.1956176757812,29.45787811279297,773.971923828125,2,0,0
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,COX,32.279998779296875,768.0451049804688,49.65813064575195,777.1581420898438,2,0,1
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,RESEARCH,51.7161750793457,768.0451049804688,94.71284484863281,777.1581420898438,2,0,2
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,AND,96.7708969116211,768.0451049804688,114.60179138183594,777.1581420898438,2,0,3
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,"TECHNOLOGY,",116.65983581542969,768.0451049804688,174.96014404296875,777.1581420898438,2,0,4
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,INC.,177.0181884765625,768.0451049804688,193.25205993652344,777.1581420898438,2,0,5
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,2023,195.3101043701172,768.0451049804688,211.77447509765625,777.1581420898438,2,0,6
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,MARSHALLING,208.0800018310547,374.6361389160156,322.7796630859375,392.0845947265625,3,0,0
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,CABINETS,326.72015380859375,374.6361389160156,403.7803039550781,392.0845947265625,3,0,1
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,120V,252.29998779296875,429.0561218261719,287.32305908203125,446.50457763671875,4,0,0
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,CABINET,291.2635498046875,429.0561218261719,359.56005859375,446.50457763671875,4,0,1
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,P19-0166,275.2799987792969,356.51611328125,336.5782165527344,373.9645690917969,5,0,0
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,Delta,247.79998779296875,708.4304809570312,272.71630859375,721.1647338867188,6,0,0
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,Treatment,275.5921325683594,708.4304809570312,322.8709716796875,721.1647338867188,6,0,1
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,Systems,325.746826171875,708.4304809570312,364.0990905761719,721.1647338867188,6,0,2
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,9125,262.79998779296875,720.0704956054688,285.80670166015625,732.8047485351562,7,0,0
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,Comar,288.68255615234375,720.0704956054688,319.9947509765625,732.8047485351562,7,0,1
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,Drive,322.87060546875,720.0704956054688,349.06378173828125,732.8047485351562,7,0,2
E:\SCHEMATICai\samples\CP-6100-6199\CP-6195SR2.pdf,1,612.0,792.0,(225),221.09999084472656,743.4104614257812,246.01632690429688,756.1447143554688,8,0,0
