pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-6100-6199\CP-6100 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6100 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6100 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6100 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6100 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6100 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6100 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6100 PDF.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6101.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6101.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6101.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6101.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6101A.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6101A.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6101A.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6101A.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,9,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,10,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,11,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6102.pdf,12,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6103.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6103.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6103.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6103.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-6100-6199\CP-6103.pdf,5,612.0,792.0,
