pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-1600-1699\CP-1600.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1601.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1601.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1601.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1601.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1601.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1601.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1602.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1602.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1602.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1602.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1602.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1602.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1603.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1603.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1603.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1603.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1603.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1603.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1604.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1604.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1604.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1604.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1604.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1604.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1605.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1605.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1600-1699\CP-1605.pdf,3,612.0,792.0,
