pdf_path,page,page_width,page_height,word,x0,y0,x1,y1,block,line,word_no
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,Operation:,83.45999908447266,28.595680236816406,129.63949584960938,39.10808181762695,0,0,0
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,This,83.45999145507812,69.39640045166016,100.57662200927734,79.90879821777344,2,0,0
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,program,103.01944732666016,69.39640045166016,139.67555236816406,79.90879821777344,2,0,1
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,runs,142.139404296875,69.39640045166016,160.88246154785156,79.90879821777344,2,0,2
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,constantly,163.31900024414062,69.39640045166016,207.4212646484375,79.90879821777344,2,0,3
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,providing,209.8788299560547,69.39640045166016,250.08621215820312,79.90879821777344,2,0,4
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,a,252.4786376953125,69.39640045166016,257.5113830566406,79.90879821777344,2,0,5
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,permissive,259.9184875488281,69.39640045166016,305.6704406738281,79.90879821777344,2,0,6
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,contact,307.97869873046875,69.39640045166016,339.93511962890625,79.90879821777344,2,0,7
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,to,342.298095703125,69.39640045166016,351.255126953125,79.90879821777344,2,0,8
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,alternator,353.6979675292969,69.39640045166016,396.76220703125,79.90879821777344,2,0,9
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,and,399.1777038574219,69.39640045166016,415.1900939941406,79.90879821777344,2,0,10
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,will,417.59716796875,69.39640045166016,432.233154296875,79.90879821777344,2,0,11
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,cycle,434.6370849609375,69.39640045166016,455.89129638671875,79.90879821777344,2,0,12
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,the,83.45672607421875,89.8566665649414,97.74596405029297,100.36906433105469,3,0,0
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,alternator,100.13626861572266,89.8566665649414,143.31396484375,100.36906433105469,3,0,1
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,based,145.61599731445312,89.8566665649414,170.9920196533203,100.36906433105469,3,0,2
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,on,173.27618408203125,89.8566665649414,184.3682098388672,100.36906433105469,3,0,3
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,time,186.7763671875,89.8566665649414,206.28643798828125,100.36906433105469,3,0,4
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,or,208.61685180664062,89.8566665649414,217.92062377929688,100.36906433105469,3,0,5
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,after,220.316162109375,89.8566665649414,240.90737915039062,100.36906433105469,3,0,6
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,a,243.17579650878906,89.8566665649414,248.20855712890625,100.36906433105469,3,0,7
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,pump,250.61566162109375,89.8566665649414,275.5661926269531,100.36906433105469,3,0,8
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714r1 PDF.pdf,7,612.0,792.0,runs.,277.9753723144531,89.8566665649414,299.3966064453125,100.36906433105469,3,0,9
