pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-4700-4799\CP-4701.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4701.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4701.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4701.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4701.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4701.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4701.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,9,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,10,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,11,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,12,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4702 PDF.pdf,13,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4703.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4703.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4703.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4703.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4703.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4703.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4704 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4704 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4704 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4704 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4704 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4704 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705 PDF.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705A.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705A.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705A.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705A.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,9,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,10,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,11,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4705R1 PDF.pdf,12,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4706.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4706.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4706.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4706.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4706.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4706.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4707.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4707.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4707.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4707.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4707.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4707.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4708.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4708.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4708.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4708.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4708.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4708.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4708.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4709.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4709.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4709.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4709.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4709.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710R.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710R.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710R.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710R.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710R.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4710R.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4711 pdf.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4711 pdf.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4711 pdf.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4711 pdf.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4711 pdf.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4712.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4712.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4712.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4712.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4712.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4712.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4713.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4713.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4713.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4713.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4713.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4713.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-4700-4799\CP-4714.pdf,6,612.0,792.0,
