pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-6000-6099\CP-6000 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6000 PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6000 PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6000 PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6000 PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6000 PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6000 PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Ivy Lift Station PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Ivy Lift Station PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Ivy Lift Station PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Ivy Lift Station PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Ivy Lift Station PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Ivy Lift Station PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Ivy Lift Station PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Ivy Lift Station PDF.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Ivy Lift Station PDF.pdf,9,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Woodlawn Lift Station PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Woodlawn Lift Station PDF.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Woodlawn Lift Station PDF.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Woodlawn Lift Station PDF.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Woodlawn Lift Station PDF.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Woodlawn Lift Station PDF.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Woodlawn Lift Station PDF.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Woodlawn Lift Station PDF.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6001 Woodlawn Lift Station PDF.pdf,9,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6002 PDF.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-6000-6099\CP-6002 PDF.pdf,2,612.0,792.0,
