pdf_path,page,page_width,page_height,word,x0,y0,x1,y1,block,line,word_no
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,Upon,152.33999633789062,220.4527130126953,171.07220458984375,229.75494384765625,0,0,0
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,power,173.23095703125,220.4527130126953,194.3412322998047,229.75494384765625,0,0,1
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,up,196.44200134277344,220.4527130126953,204.7837677001953,229.75494384765625,0,0,2
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,the,206.8828582763672,220.4527130126953,217.2758026123047,229.75494384765625,0,0,3
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,clock,219.4261474609375,220.4527130126953,237.55162048339844,229.75494384765625,0,0,4
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,screen,239.7103729248047,220.4527130126953,261.2752380371094,229.75494384765625,0,0,5
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,may,263.43402099609375,220.4527130126953,277.8982849121094,229.75494384765625,0,0,6
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,not,279.8772277832031,220.4527130126953,290.793701171875,229.75494384765625,0,0,7
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,be,292.80029296875,220.4527130126953,300.73114013671875,229.75494384765625,0,0,8
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,displayed.,302.82098388671875,220.4527130126953,337.2980651855469,229.75494384765625,0,0,9
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,The,339.3971862792969,220.4527130126953,352.49005126953125,229.75494384765625,0,0,10
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,screen,354.5815734863281,220.4527130126953,376.1783447265625,229.75494384765625,0,0,11
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,is,378.3295593261719,220.4527130126953,383.87982177734375,229.75494384765625,0,0,12
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,considered,386.0100402832031,220.4527130126953,422.55596923828125,229.75494384765625,0,0,13
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,the,424.5870056152344,220.4527130126953,434.9051818847656,229.75494384765625,0,0,14
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,“main”,152.33909606933594,230.0524444580078,176.65097045898438,239.35504150390625,0,1,0
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,screen,178.8030242919922,230.0528106689453,200.40069580078125,239.35504150390625,0,1,1
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,and,202.55946350097656,230.0528106689453,214.6759033203125,239.35504150390625,0,1,2
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,will,216.82794189453125,230.0528106689453,229.84519958496094,239.35504150390625,0,1,3
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,be,231.95103454589844,230.0528106689453,239.93565368652344,239.35504150390625,0,1,4
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,the,242.02804565429688,230.0528106689453,252.36050415039062,239.35504150390625,0,1,5
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,starting,254.39239501953125,230.0528106689453,279.6798400878906,239.35504150390625,0,1,6
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,point,281.7789306640625,230.0528106689453,299.1095275878906,239.35504150390625,0,1,7
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,for,301.26153564453125,230.0528106689453,311.16375732421875,239.35504150390625,0,1,8
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,all,313.3157958984375,230.0528106689453,321.6541748046875,239.35504150390625,0,1,9
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,programming.,323.7591247558594,230.0528106689453,371.7652893066406,239.35504150390625,0,1,10
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,Press,152.3399658203125,249.31275939941406,170.1209259033203,258.614990234375,0,3,0
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,the,172.26455688476562,249.31275939941406,182.5970001220703,258.614990234375,0,3,1
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,“DOWN”,184.73980712890625,249.31275939941406,220.2605438232422,258.614990234375,0,3,2
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,key,222.35964965820312,249.31275939941406,234.60296630859375,258.614990234375,0,3,3
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,to,236.58103942871094,249.31275939941406,243.17327880859375,258.614990234375,0,3,4
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,scroll,245.32781982421875,249.31275939941406,264.0633850097656,258.614990234375,0,3,5
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,until,266.1582946777344,249.31275939941406,281.62249755859375,258.614990234375,0,3,6
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,the,283.6568908691406,249.31275939941406,294.03472900390625,258.614990234375,0,3,7
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,clock,296.069091796875,249.31275939941406,314.3676452636719,258.614990234375,0,3,8
E:\SCHEMATICai\samples\CP-2000-2099\CP-2056A COMPLETE 07302010.pdf,7,612.0,792.0,screen,316.4625549316406,249.31275939941406,338.03997802734375,258.614990234375,0,3,9
