pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-1800-1899\CP-1801.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1801.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1801.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1801.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1801.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1801.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1801.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1802.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1802.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1802.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1802.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1802.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1802.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1802.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803R1.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803R1.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803R1.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803R1.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803R1.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1803R1.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1804.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1804.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1804.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1804.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1804.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1804.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1806.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1806.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1806.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1806.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1806.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1806.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1806.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1807.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1807.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1807.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1807.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1807.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1807.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1810.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1810.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1810.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1811.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1811.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1811.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1800-1899\CP-1811.pdf,4,612.0,792.0,
