pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600r1.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600r1.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600r1.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600r1.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600r1.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3600r1.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3601 COMPLETE.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3601 COMPLETE.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3601 COMPLETE.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3601 COMPLETE.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3601 COMPLETE.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3601 COMPLETE.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3601 COMPLETE.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3602.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3602.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3602.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3602.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3602.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3602.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3603.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3603.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3603.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3603.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3603.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3603.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3605.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3605.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3605.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3605.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3605.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3605.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3605.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3606.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3606.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3606.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3606.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3606.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3606.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3607 COMPLETE.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3607 COMPLETE.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3609.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3609.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3609.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3609.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3609.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3609.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3610.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3610.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3610.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3610.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3610.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3610.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-3600-3699\CP-3611.pdf,1,612.0,792.0,
