pdf_path,page,page_width,page_height,word,x0,y0,x1,y1,block,line,word_no
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,OPERATION,96.12039184570312,88.70233154296875,178.59909057617188,104.22528076171875,3,0,0
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,OF,182.42098999023438,88.70233154296875,201.82568359375,104.22528076171875,3,0,1
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,CLASS,205.6335906982422,88.70233154296875,251.39852905273438,104.22528076171875,3,0,2
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,4848,255.33233642578125,88.70233154296875,286.3650207519531,104.22528076171875,3,0,3
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,DRIP,290.298828125,88.70233154296875,323.6817321777344,104.22528076171875,3,0,4
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,SYSTEM,327.4336853027344,88.70233154296875,385.007080078125,104.22528076171875,3,0,5
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,CONTROL,388.7170715332031,88.70233154296875,457.0776672363281,104.22528076171875,3,0,6
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,PANELS,460.87158203125,88.70233154296875,515.8709106445312,104.22528076171875,3,0,7
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,A.,54.722957611083984,152.48260498046875,67.90657043457031,168.00555419921875,4,4,0
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,When,100.4151382446289,152.48260498046875,136.93026733398438,168.00555419921875,4,5,0
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,the,140.73257446289062,152.48260498046875,160.30093383789062,168.00555419921875,4,5,1
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,bottom,164.201171875,152.48260498046875,206.78485107421875,168.00555419921875,4,5,2
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,permissive,210.76904296875,152.48260498046875,277.2829895019531,168.00555419921875,4,5,3
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,float,281.1832275390625,152.48260498046875,307.8414001464844,168.00555419921875,4,5,4
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,"makes,",311.67169189453125,152.48260498046875,356.6476135253906,168.00555419921875,4,5,5
E:\SCHEMATICai\samples\CP-4800-4899\CP-4848R1 PDF.pdf,6,612.0,792.0,the,360.4779052734375,152.48260498046875,380.0182800292969,168.00555419921875,4,5,6
