pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,8,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,9,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,10,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,11,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-31.pdf,12,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-3100 COMPLETE.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-3100 COMPLETE.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-3100 COMPLETE.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-3100 COMPLETE.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-3100 COMPLETE.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-3100 COMPLETE.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-3100 COMPLETE.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-3101.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-3101.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-3100-3199\CP-3101.pdf,3,612.0,792.0,
